LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSC1_ECOLX, (P08692) (ARSC1_ECOLX)
WP_070425495.1, Stenotrophomonas_sp._LM091 (WP_070425495.1)
WP_070470325.1, Stenotrophomonas_sp._HMSC10F06 (WP_070470325.1)
WP_071005877.1, Rhizobium_sp._LCM_4573 (WP_071005877.1)
WP_071097529.1, Mesorhizobium_sp._ORS3428 (WP_071097529.1)
WP_071915639.1, Bradyrhizobium_japonicum (WP_071915639.1)
WP_072444960.1, Burkholderia (WP_072444960.1)
WP_072608253.1, Mesorhizobium_sp._B7 (WP_072608253.1)
WP_072820200.1, Bradyrhizobium_erythrophlei (WP_072820200.1)
WP_073428893.1, Burkholderiaceae (WP_073428893.1)
WP_073694387.1, Mycobacterium_sp._ST-F2 (WP_073694387.1)
WP_074121155.1, Bradyrhizobium_sp._AS23.2 (WP_074121155.1)
WP_074276249.1, Bradyrhizobium_erythrophlei (WP_074276249.1)
WP_074289161.1, Burkholderia_sp._GAS332 (WP_074289161.1)
WP_074295171.1, Paraburkholderia_phenazinium (WP_074295171.1)
WP_074546813.1, Dyella_jiangningensis (WP_074546813.1)
WP_074793905.1, Nitrosospira_briensis (WP_074793905.1)
WP_074814057.1, Bradyrhizobium (WP_074814057.1)
WP_075152137.1, Sphingomonas_koreensis (WP_075152137.1)
WP_075217124.1, Mongoliimonas_terrestris (WP_075217124.1)
WP_075563417.1, Salinicola_sp._MH3R3-1 (WP_075563417.1)
WP_075773147.1, Rhodocista_sp._MIMtkB3 (WP_075773147.1)
WP_076068398.1, Sphingomonas_sp._W16RD (WP_076068398.1)
WP_076202475.1, Mycobacterium_fortuitum (WP_076202475.1)
WP_076262675.1, Monashia_flava (WP_076262675.1)
WP_077732464.1, Methylocaldum_sp._14B (WP_077732464.1)
WP_077929754.1, Acetobacter_persici (WP_077929754.1)
WP_078363274.1, Rhodoferax_fermentans (WP_078363274.1)
WP_078488210.1, Solemya_elarraichensis_gill_symbiont (WP_078488210.1)
WP_078756797.1, Lysobacter_spongiicola (WP_078756797.1)
WP_079433043.1, Zoogloea_sp._LCSB751 (WP_079433043.1)
WP_079544152.1, Bradyrhizobium_lablabi (WP_079544152.1)
WP_079603517.1, Bradyrhizobium_erythrophlei (WP_079603517.1)
WP_080136800.1, Bradyrhizobium_sp._BR10280 (WP_080136800.1)
WP_080323985.1, Burkholderia_cenocepacia (WP_080323985.1)
WP_081987841.1, Sphingomonas_sp._37zxx (WP_081987841.1)
WP_082186180.1, Agrobacterium_genomosp._5 (WP_082186180.1)
WP_083065166.1, Mycobacterium_arosiense (WP_083065166.1)
WP_083088522.1, Mycobacterium_noviomagense (WP_083088522.1)
WP_083131712.1, Mycobacterium_branderi (WP_083131712.1)
WP_083137381.1, Mycobacterium_alsense (WP_083137381.1)
WP_083632991.1, Bradyrhizobium_sp._NAS96.2 (WP_083632991.1)
WP_083716461.1, Rhizobium/Agrobacterium_group (WP_083716461.1)
WP_084368272.1, Rhizobium_sp._RU36D (WP_084368272.1)
WP_084572923.1, Methylocapsa_aurea (WP_084572923.1)
WP_085091344.1, Azospirillum_oryzae (WP_085091344.1)
WP_085099279.1, Mycobacterium_paraense (WP_085099279.1)
WP_085123802.1, Tistlia_consotensis (WP_085123802.1)
WP_085227898.1, Paraburkholderia_caryophylli (WP_085227898.1)
WP_085554661.1, Azospirillum_lipoferum (WP_085554661.1)
WP_085773563.1, Methylocystis_bryophila (WP_085773563.1)
WP_086789305.1, Crossiella_equi (WP_086789305.1)
WP_086899981.1, Kushneria_marisflavi (WP_086899981.1)
WP_087282330.1, Comamonas_serinivorans (WP_087282330.1)
WP_087719917.1, Salinicola_salarius (WP_087719917.1)
WP_088521787.1, Rhodoblastus_acidophilus (WP_088521787.1)
WP_088596077.1, Achromobacter (WP_088596077.1)
WP_088928772.1, Burkholderia_multivorans (WP_088928772.1)
WP_088957608.1, Variovorax_sp._HW608 (WP_088957608.1)
WP_090535460.1, Paraburkholderia_sartisoli (WP_090535460.1)
WP_090605875.1, Mycobacterium_lentiflavum (WP_090605875.1)
WP_090663607.1, Belnapia_rosea (WP_090663607.1)
WP_090664444.1, Belnapia_rosea (WP_090664444.1)
WP_090686847.1, Paraburkholderia_phenazinium (WP_090686847.1)
WP_090707279.1, Beijerinckia_sp._28-YEA-48 (WP_090707279.1)
WP_090877305.1, Nitrosovibrio_sp._Nv6 (WP_090877305.1)
WP_091131800.1, Microvirga_guangxiensis (WP_091131800.1)
WP_091133606.1, Microvirga_guangxiensis (WP_091133606.1)
WP_091135691.1, Microvirga_guangxiensis (WP_091135691.1)
WP_091334262.1, Frateuria_terrea (WP_091334262.1)
WP_091570711.1, Alicycliphilus_sp._EPL6 (WP_091570711.1)
WP_091592329.1, Mesorhizobium_muleiense (WP_091592329.1)
WP_091683902.1, Methylobacterium_sp._275MFSha3.1 (WP_091683902.1)
WP_091738495.1, Phenylobacterium_immobile (WP_091738495.1)
WP_091792828.1, Burkholderia_sp._WP9 (WP_091792828.1)
WP_091890970.1, Methylobacterium_sp._yr596 (WP_091890970.1)
WP_092114873.1, Bradyrhizobium_erythrophlei (WP_092114873.1)
WP_092189023.1, Bradyrhizobium_sp._cf659 (WP_092189023.1)
WP_092238009.1, Bradyrhizobium_sp._Gha (WP_092238009.1)
WP_092299193.1, Bradyrhizobium_sp._Ghvi (WP_092299193.1)
WP_092358872.1, Collimonas_sp._OK242 (WP_092358872.1)
WP_092715363.1, Rhizobium_multihospitium (WP_092715363.1)
WP_092864764.1, Hyphomicrobium_facile (WP_092864764.1)
WP_092898952.1, Rhodobacter_sp._24-YEA-8 (WP_092898952.1)
WP_093000172.1, Rhizobium_sp._NFR07 (WP_093000172.1)
WP_093147425.1, Thalassobaculum_litoreum (WP_093147425.1)
WP_093236889.1, Variovorax_sp._EL159 (WP_093236889.1)
WP_093637357.1, Paraburkholderia_aspalathi (WP_093637357.1)
WP_094409545.1, Elstera_sp._TH019 (WP_094409545.1)
WP_094453871.1, Niveispirillum_sp._TH1-14 (WP_094453871.1)
WP_094975156.1, Bradyrhizobium_sp._85S1MB (WP_094975156.1)
XP_013308671.1, Necator_americanus (XP_013308671.1)
